vehicle_id,frame_number,timestamp,vehicle_type,x_position,y_position,speed,direction
6,918,36.72,Car,471.0,154.0,37.3972,67.81
6,1249,49.96,Car,495.5,81.67,35.2517,116.83
6,1371,54.84,Car,480.75,52.5,36.892,4.97
7,0,0.0,Car,311.5,125.25,24.3712,0.0
7,13,0.52,Car,315.67,135.33,36.1995,342.75
7,14,0.56,Car,336.17,130.83,51.326,318.49
7,16,0.64,Car,384.67,133.0,48.5969,20.35
7,34,1.36,Car,418.33,146.5,36.8222,332.78
7,64,2.56,Car,425.0,183.5,35.6374,231.46
7,76,3.04,Car,383.67,234.67,32.5449,223.1
7,88,3.52,Car,354.17,282.83,33.0241,244.98
7,92,3.68,Car,335.5,313.33,31.568,252.26
7,246,9.84,Car,344.33,298.67,28.4516,79.4
7,403,16.12,Car,373.17,254.17,30.0595,52.82
7,491,19.64,Car,399.17,221.5,31.96,29.35
7,492,19.68,Car,399.83,213.83,42.4082,196.42
7,526,21.04,Car,396.83,209.0,40.6435,113.31
7,529,21.16,Car,399.83,199.67,41.5786,28.63
7,561,22.44,Car,416.67,190.17,40.1215,41.11
7,785,31.4,Car,397.67,191.0,42.4855,171.47
7,793,31.72,Car,379.83,192.17,35.9138,189.02
7,821,32.84,Car,380.5,191.17,34.0838,9.26
7,890,35.6,Car,402.67,187.5,30.894,11.27
7,938,37.52,Car,402.5,186.33,31.1093,190.02
7,1016,40.64,Car,372.0,201.17,27.2217,198.44
7,1023,40.92,Car,346.25,209.75,29.3218,237.31
8,1,0.04,Car,289.0,215.5,16.8375,0.0
8,5,0.2,Car,304.33,215.33,20.7117,345.71
8,6,0.24,Car,298.33,224.17,31.635,170.1
8,65,2.6,Car,277.17,203.83,33.1166,169.07
8,68,2.72,Car,261.0,216.67,31.9575,23.66
8,171,6.84,Car,286.67,215.83,33.6524,296.81
8,394,15.76,Car,283.5,232.17,33.3196,98.01
8,476,19.04,Car,272.17,222.83,32.5162,175.33
8,486,19.44,Car,250.33,235.33,34.7303,261.71
8,545,21.8,Car,253.0,206.67,29.9619,88.48
8,681,27.24,Car,251.5,189.5,33.7948,85.36
8,876,35.04,Car,255.17,154.0,29.8691,255.78
8,922,36.88,Car,247.5,195.67,30.1026,268.68
8,934,37.36,Car,255.17,215.0,26.164,268.69
8,1053,42.12,Car,255.0,243.5,26.4307,36.33
8,1260,50.4,Car,257.33,243.67,33.3899,220.49
8,1337,53.48,Car,252.67,239.67,36.3357,139.64
8,1359,54.36,Car,249.67,228.67,33.4274,80.47
8,1360,54.4,Car,246.83,211.17,28.8258,139.03
8,1366,54.64,Car,241.75,206.75,27.6922,152.35
9,1,0.04,Car,469.5,263.75,20.2691,0.0
9,237,9.48,Car,469.33,261.33,22.8232,61.06
9,296,11.84,Car,478.17,215.17,30.4119,193.95
9,300,12.0,Car,479.33,204.5,29.5625,78.76
9,350,14.0,Car,463.33,143.5,28.1115,91.86
9,1020,40.8,Car,478.83,124.67,28.2467,115.92
9,1238,49.52,Car,466.0,98.25,23.3752,331.19
10,1,0.04,Car,175.5,406.0,13.4796,0.0
