time,vehicle_id,pedestrian_id,distance,vehicle_speed,ttc
345.0,bike_flow_2.23,ped_41,3.23,5.42,0.6
345.0,bike_flow_2.23,ped_43,12.94,5.42,2.39
345.0,bike_flow_2.23,ped_48,13.59,5.42,2.51
345.0,bike_flow_2.24,ped_43,3.21,1.8,1.79
346.0,bike_flow_2.21,ped_42,8.6,6.72,1.28
346.0,bike_flow_2.21,ped_44,7.99,6.72,1.19
346.0,bike_flow_2.21,ped_48,13.06,6.72,1.94
346.0,bike_flow_2.21,ped_49,6.5,6.72,0.97
346.0,bike_flow_2.21,ped_51,7.37,6.72,1.1
346.0,bike_flow_2.22,ped_41,13.46,5.87,2.29
346.0,bike_flow_2.22,ped_42,11.28,5.87,1.92
346.0,bike_flow_2.22,ped_44,12.08,5.87,2.06
346.0,bike_flow_2.22,ped_48,3.34,5.87,0.57
346.0,bike_flow_2.22,ped_49,17.36,5.87,2.96
346.0,bike_flow_2.23,ped_41,4.09,3.85,1.06
346.0,bike_flow_2.23,ped_48,11.12,3.85,2.89
346.0,bike_flow_2.24,ped_32,6.5,3.09,2.1
346.0,bike_flow_2.24,ped_43,4.04,3.09,1.31
346.0,bike_flow_2.24,ped_54,4.25,3.09,1.37
347.0,bike_flow_2.21,ped_42,15.13,7.03,2.15
347.0,bike_flow_2.21,ped_44,14.41,7.03,2.05
347.0,bike_flow_2.21,ped_48,18.74,7.03,2.67
347.0,bike_flow_2.21,ped_49,9.39,7.03,1.34
347.0,bike_flow_2.21,ped_51,7.99,7.03,1.14
347.0,bike_flow_2.22,ped_42,7.54,4.33,1.74
347.0,bike_flow_2.22,ped_44,8.0,4.33,1.85
347.0,bike_flow_2.22,ped_48,2.7,4.33,0.62
347.0,bike_flow_2.22,ped_49,12.58,4.33,2.9
347.0,bike_flow_2.23,ped_41,5.1,2.39,2.13
347.0,bike_flow_2.24,ped_32,9.98,5.5,1.82
347.0,bike_flow_2.24,ped_41,6.79,5.5,1.23
347.0,bike_flow_2.24,ped_43,7.85,5.5,1.43
347.0,bike_flow_2.24,ped_54,7.74,5.5,1.41
348.0,bike_flow_2.22,ped_41,16.5,5.5,3.0
348.0,bike_flow_2.22,ped_42,6.85,5.5,1.24
348.0,bike_flow_2.22,ped_44,6.6,5.5,1.2
348.0,bike_flow_2.22,ped_48,5.63,5.5,1.02
348.0,bike_flow_2.22,ped_49,7.7,5.5,1.4
348.0,bike_flow_2.22,ped_51,8.79,5.5,1.6
348.0,bike_flow_2.23,ped_41,7.27,3.58,2.03
348.0,bike_flow_2.23,ped_48,10.25,3.58,2.86
348.0,bike_flow_2.24,ped_41,4.24,4.16,1.02
348.0,bike_flow_2.24,ped_43,11.05,4.16,2.66
348.0,bike_flow_2.24,ped_54,10.02,4.16,2.41
348.0,bike_flow_2.25,ped_32,7.27,4.98,1.46
348.0,bike_flow_2.25,ped_41,12.65,4.98,2.54
348.0,bike_flow_2.25,ped_43,3.39,4.98,0.68
348.0,bike_flow_2.25,ped_54,2.57,4.98,0.52
349.0,bike_flow_2.22,ped_42,11.67,6.5,1.8
349.0,bike_flow_2.22,ped_44,10.91,6.5,1.68
349.0,bike_flow_2.22,ped_48,10.59,6.5,1.63
349.0,bike_flow_2.22,ped_49,7.12,6.5,1.1
349.0,bike_flow_2.22,ped_51,6.63,6.5,1.02
349.0,bike_flow_2.23,ped_41,10.26,6.34,1.62
349.0,bike_flow_2.23,ped_42,10.52,6.34,1.66
349.0,bike_flow_2.23,ped_44,11.25,6.34,1.77
349.0,bike_flow_2.23,ped_48,7.96,6.34,1.26
349.0,bike_flow_2.23,ped_49,16.22,6.34,2.56
349.0,bike_flow_2.23,ped_51,17.5,6.34,2.76
349.0,bike_flow_2.24,ped_41,3.27,3.02,1.08
349.0,bike_flow_2.25,ped_43,4.61,3.08,1.5
349.0,bike_flow_2.25,ped_54,3.05,3.08,0.99
350.0,bike_flow_2.23,ped_41,11.08,5.17,2.14
350.0,bike_flow_2.23,ped_42,6.75,5.17,1.31
350.0,bike_flow_2.23,ped_44,7.06,5.17,1.36
350.0,bike_flow_2.23,ped_48,4.45,5.17,0.86
350.0,bike_flow_2.23,ped_49,10.76,5.17,2.08
350.0,bike_flow_2.23,ped_51,11.53,5.17,2.23
350.0,bike_flow_2.24,ped_41,3.59,3.27,1.1
350.0,bike_flow_2.25,ped_43,6.28,2.9,2.17
350.0,bike_flow_2.25,ped_54,3.87,2.9,1.33
350.0,bike_flow_2.26,ped_43,4.71,3.85,1.23
350.0,bike_flow_2.26,ped_54,6.49,3.85,1.69
351.0,bike_flow_2.23,ped_41,15.54,7.24,2.15
351.0,bike_flow_2.23,ped_42,8.78,7.24,1.21
351.0,bike_flow_2.23,ped_44,8.28,7.24,1.14
351.0,bike_flow_2.23,ped_48,3.38,7.24,0.47
351.0,bike_flow_2.23,ped_49,6.42,7.24,0.89
351.0,bike_flow_2.23,ped_51,6.55,7.24,0.91
351.0,bike_flow_2.24,ped_41,6.36,5.05,1.26
351.0,bike_flow_2.24,ped_42,13.37,5.05,2.65
351.0,bike_flow_2.24,ped_44,13.92,5.05,2.76
351.0,bike_flow_2.24,ped_48,13.4,5.05,2.65
351.0,bike_flow_2.25,ped_41,6.83,2.96,2.31
351.0,bike_flow_2.25,ped_43,8.24,2.96,2.78
351.0,bike_flow_2.25,ped_54,5.0,2.96,1.69
351.0,bike_flow_2.26,ped_43,3.72,2.34,1.59
351.0,bike_flow_2.26,ped_54,5.78,2.34,2.47
352.0,bike_flow_2.23,ped_42,16.07,7.89,2.04
352.0,bike_flow_2.23,ped_44,15.41,7.89,1.95
352.0,bike_flow_2.23,ped_48,9.09,7.89,1.15
352.0,bike_flow_2.23,ped_49,10.63,7.89,1.35
352.0,bike_flow_2.23,ped_51,9.91,7.89,1.26
352.0,bike_flow_2.23,ped_52,7.37,7.89,0.93
352.0,bike_flow_2.24,ped_41,7.65,5.09,1.5
352.0,bike_flow_2.24,ped_42,8.15,5.09,1.6
352.0,bike_flow_2.24,ped_44,8.6,5.09,1.69
352.0,bike_flow_2.24,ped_48,11.11,5.09,2.18
352.0,bike_flow_2.24,ped_49,12.88,5.09,2.53
352.0,bike_flow_2.24,ped_51,13.68,5.09,2.69
352.0,bike_flow_2.25,ped_41,4.33,4.08,1.06
352.0,bike_flow_2.25,ped_43,11.3,4.08,2.77
352.0,bike_flow_2.25,ped_54,7.02,4.08,1.72
352.0,bike_flow_2.26,ped_43,3.2,2.86,1.12
352.0,bike_flow_2.26,ped_54,4.89,2.86,1.71
353.0,bike_flow_2.24,ped_41,9.45,5.41,1.75
353.0,bike_flow_2.24,ped_42,6.56,5.41,1.21
353.0,bike_flow_2.24,ped_44,6.42,5.41,1.19
353.0,bike_flow_2.24,ped_48,7.27,5.41,1.34
353.0,bike_flow_2.24,ped_49,7.91,5.41,1.46
353.0,bike_flow_2.24,ped_51,8.35,5.41,1.54
353.0,bike_flow_2.25,ped_41,3.67,2.1,1.74
353.0,bike_flow_2.26,ped_41,11.22,3.85,2.92
353.0,bike_flow_2.26,ped_43,4.48,3.85,1.16
353.0,bike_flow_2.26,ped_54,3.33,3.85,0.87
353.0,bike_flow_2.27,ped_43,6.78,3.12,2.18
354.0,bike_flow_2.24,ped_41,13.79,5.92,2.33
354.0,bike_flow_2.24,ped_42,10.42,5.92,1.76
354.0,bike_flow_2.24,ped_44,9.77,5.92,1.65
354.0,bike_flow_2.24,ped_48,3.28,5.92,0.55
354.0,bike_flow_2.24,ped_49,6.78,5.92,1.15
354.0,bike_flow_2.24,ped_51,6.52,5.92,1.1
354.0,bike_flow_2.24,ped_52,11.28,5.92,1.91
354.0,bike_flow_2.25,ped_41,3.19,3.03,1.05
354.0,bike_flow_2.25,ped_54,8.35,3.03,2.76
354.0,bike_flow_2.26,ped_43,5.65,2.36,2.39
354.0,bike_flow_2.26,ped_54,3.06,2.36,1.3
354.0,bike_flow_2.27,ped_43,4.39,3.82,1.15
354.0,bike_flow_2.27,ped_54,9.67,3.82,2.53
355.0,bike_flow_2.24,ped_42,17.5,7.05,2.48
355.0,bike_flow_2.24,ped_44,16.84,7.05,2.39
355.0,bike_flow_2.24,ped_48,4.6,7.05,0.65
355.0,bike_flow_2.24,ped_49,12.12,7.05,1.72
355.0,bike_flow_2.24,ped_51,11.52,7.05,1.63
355.0,bike_flow_2.24,ped_52,6.46,7.05,0.92
355.0,bike_flow_2.25,ped_41,3.63,4.16,0.87
355.0,bike_flow_2.25,ped_42,9.57,4.16,2.3
355.0,bike_flow_2.25,ped_44,9.98,4.16,2.4
355.0,bike_flow_2.25,ped_54,10.08,4.16,2.42
355.0,bike_flow_2.26,ped_43,7.26,2.58,2.81
355.0,bike_flow_2.26,ped_54,2.72,2.58,1.05
356.0,bike_flow_2.25,ped_41,4.38,3.94,1.11
356.0,bike_flow_2.25,ped_42,6.58,3.94,1.67
356.0,bike_flow_2.25,ped_44,6.73,3.94,1.71
356.0,bike_flow_2.25,ped_49,9.28,3.94,2.36
356.0,bike_flow_2.25,ped_51,9.83,3.94,2.5
356.0,bike_flow_2.25,ped_54,9.97,3.94,2.53
